Category;Description;Qty;Notes
Fasteners;3x6x0.5 Shim Washer;50;
;M2 Nut;55;
;M3 Nut;140;
;M2x6 SHCS;70;
;M2x6 FHCS;10;
;M2x8 SHCS;10;
;M3x6 BHCS;40;
;M3x8 BHCS;115;
;M3x8 FHCS;5;
;M3x10 BHCS;50;
;M3x12 BHCS;25;
;M3x16 BHCS;10;
;M3x25 BHCS;10;
;M3x30 BHCS;10;
;M3x35 BHCS;30;
;M3x40 BHCS;10;
;M2x10 Self Tapping Screws for Plastic;30;
;M3 Brass heatstake inserts - short M3x5x4;50;
;Makerbeam XL M3 t-nut;2;
Frame;Makerbeam XL 15x15 200mm;16;
;Makerbeam XL 15x15 100mm;3;
Extrusion Tophat Frame;Makerbeam XL 15x15 200mm;4;
;Makerbeam XL 15x15 80-100mm;4;
Electronics;Meanwell LRS-150-24;1;
;Bigtreetech SKR Pico;1;
;Raspberry Pi 3;1;
;MicroSD Card;1;
;NEMA14 Stepper Motor 40Ncm;2;
;NEMA17 Stepper Motor w/ integrated lead screw 200mm T8x8;1;
;3010 blower fans 24V;2;
;3010 axial fan 24V;2;
;Omron Mouse Button - Micro Switch;2;
;C13 Power Cord;1;
;IEC320 C14 inlet;1;
;Hotend;1;
;24V Heater Cartridge;1;
;Hotend thermistor;1;
;V0-Display;1;
;ECAS04 Bowden Fitting;1;
;3M 5952 VHB tape;1;
Cables;Insulated Crimp Receptical;4;
;High Flex Wire 22gauge 100ft;1;
;High Flex Wire 20gauge 10ft;1;
;Wire 18gauge 10ft;1;
;Thermal Fuse 150C;1;
;JST connectors (2pin 3pin 4pin);?;
;Microfit3 Dual Row (10circuits) Male & Female Plug;1;
;7mm x 7mm cable chain (less than 1/2 meter needed);1;
;Nylon Cable Ties (1.8mm wide or smaller);50;
Motion;F623-RS Bearing;24;
;MGN7H Linear Rail with Carriage - 150mm;5;
;GT2 20T (5mm ID 6mm W);2;
;GT2 Open Belt (6mm W) - 3000mm;1;
;T8x8 Anti-backlash Flange Nut;1;
Buildplate;MIC6 1/4" Plate - 120x120mm;1;
;Silicone DC 24V Heater 100x100mm 60W;1;
;PEI + 3M 468MP (200MP);1;
;yellow die springs 8x4x20mm;3;
;Magnetic sheet for spring steel plate 120x120 (OPTIONAL);1;
;Spring Steel Flex Buildplate 120x120mm (OPTIONAL);1;
Panels;Acrylic Sheet Clear (sides) - 212x230x3mm;2;
;Acrylic Sheet Clear (door) - 212x239x3mm;1;
;Upper Rear Panel 212x63x3mm;1;
;Lower Rear Panel 212x185x3mm;1;
;Deck Panel 3mm thick (See DXF);1;
;Motor Panel 3mm thick (See DXF);1;
;Bottom Panel 3mm thick (See DXF);1;
;Mid Panel 3mm thick (See DXF);1;
Bowden;Bowden Fitting;2;
;Bowden Tube 4x2mm - 1m;1;
Misc.;Little Rubber Feet;4;
;Bowden Tube 4x3mm - 1m;1;
;Medium Strength Thread Locker;1;
;6mm x 3mm Round Neodymium Magnets;8;
Extrusion Tophat Panels;Top Panel 212x212mm ;1;
;Side Panels 212x(71-91)mm ;4;
Extruder;NEMA14 36mm pancake Motor with 10 tooth gear;1;
;Bondtech BMG Extruder Kit;1;
;MR85 Bearing;3;
